[2025-08-11T13:09:25.150445300] Count: 84 | Avg: 97.71ms | StdDev: 36.75 | Median: 93ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:25.679353900] Count: 85 | Avg: 97.44ms | StdDev: 36.62 | Median: 92ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:26.159918100] Count: 86 | Avg: 97.00ms | StdDev: 36.63 | Median: 92ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:26.675555500] Count: 87 | Avg: 96.47ms | StdDev: 36.75 | Median: 92ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:27.133428600] Count: 88 | Avg: 95.95ms | StdDev: 36.85 | Median: 92ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:27.733840300] Count: 89 | Avg: 95.63ms | StdDev: 36.77 | Median: 91ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:27.764522600] Count: 90 | Avg: 95.34ms | StdDev: 36.67 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:28.280058200] Count: 91 | Avg: 94.75ms | StdDev: 36.90 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:09:28.934415] Count: 92 | Avg: 94.30ms | StdDev: 36.94 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:09:28.993175400] Count: 93 | Avg: 94.06ms | StdDev: 36.82 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:09:29.467367700] Count: 94 | Avg: 93.60ms | StdDev: 36.90 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:09:29.997087900] Count: 95 | Avg: 93.56ms | StdDev: 36.70 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:09:37.269752] Count: 96 | Avg: 93.10ms | StdDev: 36.78 | Median: 91ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:10:33.473144700] Count: 97 | Avg: 92.65ms | StdDev: 36.86 | Median: 90ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:10:43.130275200] Count: 98 | Avg: 92.27ms | StdDev: 36.87 | Median: 90ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:10:54.200207900] Count: 99 | Avg: 91.94ms | StdDev: 36.82 | Median: 90ms | P90: 138ms | P95: 150ms | P99: 296ms | Min: 41ms | Max: 296ms
[2025-08-11T13:11:04.015268400] Count: 100 | Avg: 91.55ms | StdDev: 36.84 | Median: 90ms | P90: 132ms | P95: 143ms | P99: 191ms | Min: 41ms | Max: 296ms
[2025-08-11T13:11:18.795952800] Count: 3 | Avg: 205.00ms | StdDev: 266.58 | Median: 17ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 16ms | Max: 582ms
[2025-08-11T13:11:18.825217600] Count: 3 | Avg: 202.00ms | StdDev: 268.71 | Median: 15ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 9ms | Max: 582ms
[2025-08-11T13:11:18.833131400] Count: 3 | Avg: 219.67ms | StdDev: 256.92 | Median: 38ms | P90: 583ms | P95: 583ms | P99: 583ms | Min: 38ms | Max: 583ms
[2025-08-11T13:11:18.862736] Count: 3 | Avg: 221.67ms | StdDev: 255.00 | Median: 54ms | P90: 582ms | P95: 582ms | P99: 582ms | Min: 29ms | Max: 582ms
